1	2	3
2	3	3
3	4	3
4	5	3
5	6	3
6	7	3
7	8	3
8	9	3
9	10	3
10	11	3
12	13	3
13	14	3
14	15	3
15	16	3
16	17	3
17	18	3
18	19	3
19	20	3
20	21	3
21	22	3
23	24	3
24	25	3
25	26	3
26	27	3
27	28	3
28	29	3
29	30	3
30	31	3
31	32	3
32	33	3
34	35	3
35	36	3
36	37	3
37	38	3
38	39	3
39	40	3
40	41	3
41	42	3
42	43	3
43	44	3
45	46	3
46	47	3
47	48	3
48	49	3
49	50	3
50	51	3
51	52	3
52	53	3
53	54	3
54	55	3
56	57	3
57	58	3
58	59	3
59	60	3
60	61	3
61	62	3
62	63	3
63	64	3
64	65	3
65	66	3
67	68	3
68	69	3
69	70	3
70	71	3
71	72	3
72	73	3
73	74	3
74	75	3
75	76	3
76	77	3
78	79	3
79	80	3
80	81	3
81	82	3
82	83	3
83	84	3
84	85	3
85	86	3
86	87	3
87	88	3
1	12	4.29
2	13	4.29
3	14	4.29
4	15	4.29
5	16	4.29
6	17	4.29
7	18	4.29
8	19	4.29
9	20	4.29
10	21	4.29
11	22	4.29
12	23	4.29
13	24	4.29
14	25	4.29
15	26	4.29
16	27	4.29
17	28	4.29
18	29	4.29
19	30	4.29
20	31	4.29
21	32	4.29
22	33	4.29
23	34	4.29
24	35	4.29
25	36	4.29
26	37	4.29
27	38	4.29
28	39	4.29
29	40	4.29
30	41	4.29
31	42	4.29
32	43	4.29
33	44	4.29
34	45	4.29
35	46	4.29
36	47	4.29
37	48	4.29
38	49	4.29
39	50	4.29
40	51	4.29
41	52	4.29
42	53	4.29
43	54	4.29
44	55	4.29
45	56	4.29
46	57	4.29
47	58	4.29
48	59	4.29
49	60	4.29
50	61	4.29
51	62	4.29
52	63	4.29
53	64	4.29
54	65	4.29
55	66	4.29
56	67	4.29
57	68	4.29
58	69	4.29
59	70	4.29
60	71	4.29
61	72	4.29
62	73	4.29
63	74	4.29
64	75	4.29
65	76	4.29
66	77	4.29
67	78	4.29
68	79	4.29
69	80	4.29
70	81	4.29
71	82	4.29
72	83	4.29
73	84	4.29
74	85	4.29
75	86	4.29
76	87	4.29
77	88	4.29
89	90	3
90	91	3
91	92	3
92	93	3
93	94	3
94	95	3
95	96	3
96	97	3
97	98	3
99	100	3
100	101	3
101	102	3
102	103	3
103	104	3
104	105	3
105	106	3
106	107	3
107	108	3
109	110	3
110	111	3
111	112	3
112	113	3
113	114	3
114	115	3
115	116	3
116	117	3
117	118	3
119	120	3
120	121	3
121	122	3
122	123	3
123	124	3
124	125	3
125	126	3
126	127	3
127	128	3
129	130	3
130	131	3
131	132	3
132	133	3
133	134	3
134	135	3
135	136	3
136	137	3
137	138	3
139	140	3
140	141	3
141	142	3
142	143	3
143	144	3
144	145	3
145	146	3
146	147	3
147	148	3
149	150	3
150	151	3
151	152	3
152	153	3
153	154	3
154	155	3
155	156	3
156	157	3
157	158	3
89	99	4.29
90	100	4.29
91	101	4.29
92	102	4.29
93	103	4.29
94	104	4.29
95	105	4.29
96	106	4.29
97	107	4.29
98	108	4.29
99	109	4.29
100	110	4.29
101	111	4.29
102	112	4.29
103	113	4.29
104	114	4.29
105	115	4.29
106	116	4.29
107	117	4.29
108	118	4.29
109	119	4.29
110	120	4.29
111	121	4.29
112	122	4.29
113	123	4.29
114	124	4.29
115	125	4.29
116	126	4.29
117	127	4.29
118	128	4.29
119	129	4.29
120	130	4.29
121	131	4.29
122	132	4.29
123	133	4.29
124	134	4.29
125	135	4.29
126	136	4.29
127	137	4.29
128	138	4.29
129	139	4.29
130	140	4.29
131	141	4.29
132	142	4.29
133	143	4.29
134	144	4.29
135	145	4.29
136	146	4.29
137	147	4.29
138	148	4.29
139	149	4.29
140	150	4.29
141	151	4.29
142	152	4.29
143	153	4.29
144	154	4.29
145	155	4.29
146	156	4.29
147	157	4.29
148	158	4.29
89	1	2.8
89	2	2.8
89	12	2.8
89	13	2.8
90	2	2.8
90	3	2.8
90	13	2.8
90	14	2.8
91	3	2.8
91	4	2.8
91	14	2.8
91	15	2.8
92	4	2.8
92	5	2.8
92	15	2.8
92	16	2.8
93	5	2.8
93	6	2.8
93	16	2.8
93	17	2.8
94	6	2.8
94	7	2.8
94	17	2.8
94	18	2.8
95	7	2.8
95	8	2.8
95	18	2.8
95	19	2.8
96	8	2.8
96	9	2.8
96	19	2.8
96	20	2.8
97	9	2.8
97	10	2.8
97	20	2.8
97	21	2.8
98	10	2.8
98	11	2.8
98	21	2.8
98	22	2.8
99	12	2.8
99	13	2.8
99	23	2.8
99	24	2.8
100	13	2.8
100	14	2.8
100	24	2.8
100	25	2.8
101	14	2.8
101	15	2.8
101	25	2.8
101	26	2.8
102	15	2.8
102	16	2.8
102	26	2.8
102	27	2.8
103	16	2.8
103	17	2.8
103	27	2.8
103	28	2.8
104	17	2.8
104	18	2.8
104	28	2.8
104	29	2.8
105	18	2.8
105	19	2.8
105	29	2.8
105	30	2.8
106	19	2.8
106	20	2.8
106	30	2.8
106	31	2.8
107	20	2.8
107	21	2.8
107	31	2.8
107	32	2.8
108	21	2.8
108	22	2.8
108	32	2.8
108	33	2.8
109	23	2.8
109	24	2.8
109	34	2.8
109	35	2.8
110	24	2.8
110	25	2.8
110	35	2.8
110	36	2.8
111	25	2.8
111	26	2.8
111	36	2.8
111	37	2.8
112	26	2.8
112	27	2.8
112	37	2.8
112	38	2.8
113	27	2.8
113	28	2.8
113	38	2.8
113	39	2.8
114	28	2.8
114	29	2.8
114	39	2.8
114	40	2.8
115	29	2.8
115	30	2.8
115	40	2.8
115	41	2.8
116	30	2.8
116	31	2.8
116	41	2.8
116	42	2.8
117	31	2.8
117	32	2.8
117	42	2.8
117	43	2.8
118	32	2.8
118	33	2.8
118	43	2.8
118	44	2.8
119	34	2.8
119	35	2.8
119	45	2.8
119	46	2.8
120	35	2.8
120	36	2.8
120	46	2.8
120	47	2.8
121	36	2.8
121	37	2.8
121	47	2.8
121	48	2.8
122	37	2.8
122	38	2.8
122	48	2.8
122	49	2.8
123	38	2.8
123	39	2.8
123	49	2.8
123	50	2.8
124	39	2.8
124	40	2.8
124	50	2.8
124	51	2.8
125	40	2.8
125	41	2.8
125	51	2.8
125	52	2.8
126	41	2.8
126	42	2.8
126	52	2.8
126	53	2.8
127	42	2.8
127	43	2.8
127	53	2.8
127	54	2.8
128	43	2.8
128	44	2.8
128	54	2.8
128	55	2.8
129	45	2.8
129	46	2.8
129	56	2.8
129	57	2.8
130	46	2.8
130	47	2.8
130	57	2.8
130	58	2.8
131	47	2.8
131	48	2.8
131	58	2.8
131	59	2.8
132	48	2.8
132	49	2.8
132	59	2.8
132	60	2.8
133	49	2.8
133	50	2.8
133	60	2.8
133	61	2.8
134	50	2.8
134	51	2.8
134	61	2.8
134	62	2.8
135	51	2.8
135	52	2.8
135	62	2.8
135	63	2.8
136	52	2.8
136	53	2.8
136	63	2.8
136	64	2.8
137	53	2.8
137	54	2.8
137	64	2.8
137	65	2.8
138	54	2.8
138	55	2.8
138	65	2.8
138	66	2.8
139	56	2.8
139	57	2.8
139	67	2.8
139	68	2.8
140	57	2.8
140	58	2.8
140	68	2.8
140	69	2.8
141	58	2.8
141	59	2.8
141	69	2.8
141	70	2.8
142	59	2.8
142	60	2.8
142	70	2.8
142	71	2.8
143	60	2.8
143	61	2.8
143	71	2.8
143	72	2.8
144	61	2.8
144	62	2.8
144	72	2.8
144	73	2.8
145	62	2.8
145	63	2.8
145	73	2.8
145	74	2.8
146	63	2.8
146	64	2.8
146	74	2.8
146	75	2.8
147	64	2.8
147	65	2.8
147	75	2.8
147	76	2.8
148	65	2.8
148	66	2.8
148	76	2.8
148	77	2.8
149	67	2.8
149	68	2.8
149	78	2.8
149	79	2.8
150	68	2.8
150	69	2.8
150	79	2.8
150	80	2.8
151	69	2.8
151	70	2.8
151	80	2.8
151	81	2.8
152	70	2.8
152	71	2.8
152	81	2.8
152	82	2.8
153	71	2.8
153	72	2.8
153	82	2.8
153	83	2.8
154	72	2.8
154	73	2.8
154	83	2.8
154	84	2.8
155	73	2.8
155	74	2.8
155	84	2.8
155	85	2.8
156	74	2.8
156	75	2.8
156	85	2.8
156	86	2.8
157	75	2.8
157	76	2.8
157	86	2.8
157	87	2.8
158	76	2.8
158	77	2.8
158	87	2.8
158	88	2.8
